['companyname ', 'Лига Цифровой Экономики'];['position ', 'Data Engineer (Hadoop)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/42839243?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Савеловская']
['companyname ', 'SberTech'];['position ', 'Системный аналитик'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46417668?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'EPAM Systems, Inc.'];['position ', 'Developer'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46446631?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'GeekBrains'];['position ', 'Lead DevOps Engineer'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46442509?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Маяковская']
['companyname ', 'ООО\xa0Би Телеком'];['position ', 'Middle Java разработчик'];['minsalary ', 180000.0];['maxsalary ', 0.0];['currency ', 0.0];['vacancyurl ', 'https://hh.ru/vacancy/46460855?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'ПАО\xa0«МТС» '];['position ', 'Руководитель направления клиентской аналитики (СVM)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/44325427?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Комсомольская и еще 2 ']
['companyname ', 'АО\xa0Международный аэропорт Шереметьево'];['position ', 'Главный эксперт аналитик больших данных'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/45452868?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', '«РОСБАНК, Societe Generale Group»'];['position ', 'Разработчик DWH/ETL/SQL'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/43761845?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'QIWI'];['position ', 'DevOps/Системный администратор (Big data)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46417846?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Чертановская']
['companyname ', 'ООО\xa0Стрим'];"['position ', 'Middle/Senior frontend-разработчик (React) на проект ""МТС Профиль B2C""']";['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46451628?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Технопарк']
['companyname ', 'Лига Цифровой Экономики'];['position ', 'Тестировщик (ручное тестирование)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/42840099?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Савеловская']
['companyname ', 'ГК Innostage'];['position ', 'Инженер средств защиты информации (SIEM)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/45619476?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Зест-персонал'];['position ', 'Data scientist (инфраструктурное направление)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/44827896?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Зест-персонал'];['position ', 'Team Lead /Senior data scientist (коммерческое направление)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/44828024?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
